Approved symbol	Approved name	UniProt ID(supplied by UniProt)	NCBI Gene ID	Ensembl ID(supplied by Ensembl)
ABHD18	abhydrolase domain containing 18	Q0P651	80167	ENSG00000164074
ABI1	abl interactor 1	Q8IZP0	10006	ENSG00000136754
ABI1P1	abl interactor 1 pseudogene 1		326268	ENSG00000271484
ABI2	abl interactor 2	Q9NYB9	10152	ENSG00000138443
ABI3	ABI family member 3	Q9P2A4	51225	ENSG00000108798
ABI3BP	ABI family member 3 binding protein	Q7Z7G0	25890	ENSG00000154175
ABITRAM	actin binding transcription modulator	Q9NX38	54942	ENSG00000119328
ABITRAMP1	ABITRAM pseudogene 1		390403	ENSG00000251106
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	P00519	25	ENSG00000097007
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	P42684	27	ENSG00000143322
ABLIM1	actin binding LIM protein 1	O14639	3983	ENSG00000099204
ABLIM2	actin binding LIM protein family member 2	Q6H8Q1	84448	ENSG00000163995
ABLIM3	actin binding LIM protein family member 3	O94929	22885	ENSG00000173210
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	P16442	28	ENSG00000175164
ABR	ABR activator of RhoGEF and GTPase	Q12979	29	ENSG00000159842
ABRA	actin binding Rho activating protein	Q8N0Z2	137735	ENSG00000174429
ABRACL	ABRA C-terminal like	Q9P1F3	58527	ENSG00000146386
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	Q6UWZ7	84142	ENSG00000163322
ABRAXAS2	abraxas 2, BRISC complex subunit	Q15018	23172	ENSG00000165660
ABT1	activator of basal transcription 1	Q9ULW3	29777	ENSG00000146109
ABT1P1	activator of basal transcription 1 pseudogene 1		100420695	ENSG00000250496
ABTB1	ankyrin repeat and BTB domain containing 1	Q969K4	80325	ENSG00000114626
ABTB2	ankyrin repeat and BTB domain containing 2	Q8N961	25841	ENSG00000166016
ACAA1	acetyl-CoA acyltransferase 1	P09110	30	ENSG00000060971
ACAA2	acetyl-CoA acyltransferase 2	P42765	10449	ENSG00000167315
ACACA	acetyl-CoA carboxylase alpha	Q13085	31	ENSG00000278540
ACACB	acetyl-CoA carboxylase beta	O00763	32	ENSG00000076555
ACAD8	acyl-CoA dehydrogenase family member 8	Q9UKU7	27034	ENSG00000151498
ACAD9	acyl-CoA dehydrogenase family member 9	Q9H845	28976	ENSG00000177646
ACAD10	acyl-CoA dehydrogenase family member 10	Q6JQN1	80724	ENSG00000111271
ACAD11	acyl-CoA dehydrogenase family member 11	Q709F0	84129	ENSG00000240303
ACADL	acyl-CoA dehydrogenase long chain	P28330	33	ENSG00000115361
ACADM	acyl-CoA dehydrogenase medium chain	P11310	34	ENSG00000117054
ACADS	acyl-CoA dehydrogenase short chain	P16219	35	ENSG00000122971
ACADSB	acyl-CoA dehydrogenase short/branched chain	P45954	36	ENSG00000196177
ACADVL	acyl-CoA dehydrogenase very long chain	P49748	37	ENSG00000072778
ACAN	aggrecan	P16112	176	ENSG00000157766
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Q15027	9744	ENSG00000072818
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Q15057	23527	ENSG00000114331
ACAP2-IT1	ACAP2 intronic transcript 1			ENSG00000229325
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Q96P50	116983	ENSG00000131584
ACAT1	acetyl-CoA acetyltransferase 1	P24752	38	ENSG00000075239
ACAT2	acetyl-CoA acetyltransferase 2	Q9BWD1	39	ENSG00000120437
ACBD3	acyl-CoA binding domain containing 3	Q9H3P7	64746	ENSG00000182827
ACBD3-AS1	ACBD3 antisense RNA 1		107985353	ENSG00000234478
ACBD4	acyl-CoA binding domain containing 4	Q8NC06	79777	ENSG00000181513
ACBD5	acyl-CoA binding domain containing 5	Q5T8D3	91452	ENSG00000107897
ACBD6	acyl-CoA binding domain containing 6	Q9BR61	84320	ENSG00000230124
ACBD7	acyl-CoA binding domain containing 7	Q8N6N7	414149	ENSG00000176244
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Q96QU6	84680	ENSG00000110455
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	Q4AC99	390110	ENSG00000205126
ACD	ACD shelterin complex subunit and telomerase recruitment factor	Q96AP0	65057	ENSG00000102977
ACE	angiotensin I converting enzyme	P12821	1636	ENSG00000159640
ACE2	angiotensin I converting enzyme 2	Q9BYF1	59272	ENSG00000130234
ACE3P	angiotensin I converting enzyme 3, pseudogene		100129123	ENSG00000224353
ACER1	alkaline ceramidase 1	Q8TDN7	125981	ENSG00000167769
ACER2	alkaline ceramidase 2	Q5QJU3	340485	ENSG00000177076
ACER3	alkaline ceramidase 3	Q9NUN7	55331	ENSG00000078124
ACHE	acetylcholinesterase (Cartwright blood group)	P22303	43	ENSG00000087085
ACIN1	apoptotic chromatin condensation inducer 1	Q9UKV3	22985	ENSG00000100813
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Q16570	2532	ENSG00000213088
ACKR2	atypical chemokine receptor 2	O00590	1238	ENSG00000144648
ACKR3	atypical chemokine receptor 3	P25106	57007	ENSG00000144476
ACKR4	atypical chemokine receptor 4	Q9NPB9	51554	ENSG00000129048
ACLS	acrocallosal syndrome		46	
ACLY	ATP citrate lyase	P53396	47	ENSG00000131473
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Q8TDX5	130013	ENSG00000153086
ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene		347275	ENSG00000227411
ACO1	aconitase 1	P21399	48	ENSG00000122729
ACO2	aconitase 2	Q99798	50	ENSG00000100412
ACOD1	aconitate decarboxylase 1	A6NK06	730249	ENSG00000102794
ACOT1	acyl-CoA thioesterase 1	Q86TX2	641371	ENSG00000184227
ACOT2	acyl-CoA thioesterase 2	P49753	10965	ENSG00000119673
ACOT4	acyl-CoA thioesterase 4	Q8N9L9	122970	ENSG00000177465
ACOT6	acyl-CoA thioesterase 6	Q3I5F7	641372	ENSG00000205669
ACOT7	acyl-CoA thioesterase 7	O00154	11332	ENSG00000097021
ACOT8	acyl-CoA thioesterase 8	O14734	10005	ENSG00000101473
ACOT9	acyl-CoA thioesterase 9	Q9Y305	23597	ENSG00000123130
ACOT11	acyl-CoA thioesterase 11	Q8WXI4	26027	ENSG00000162390
ACOT12	acyl-CoA thioesterase 12	Q8WYK0	134526	ENSG00000172497
ACOT13	acyl-CoA thioesterase 13	Q9NPJ3	55856	ENSG00000112304
ACOX1	acyl-CoA oxidase 1	Q15067	51	ENSG00000161533
ACOX2	acyl-CoA oxidase 2	Q99424	8309	ENSG00000168306
ACOX3	acyl-CoA oxidase 3, pristanoyl	O15254	8310	ENSG00000087008
ACOXL	acyl-CoA oxidase like	Q9NUZ1	55289	ENSG00000153093
ACOXL-AS1	ACOXL antisense RNA 1		400997	ENSG00000204581
ACP1	acid phosphatase 1	P24666	52	ENSG00000143727
ACP2	acid phosphatase 2, lysosomal	P11117	53	ENSG00000134575
ACP4	acid phosphatase 4	Q9BZG2	93650	ENSG00000142513
ACP5	acid phosphatase 5, tartrate resistant	P13686	54	ENSG00000102575
ACP6	acid phosphatase 6, lysophosphatidic	Q9NPH0	51205	ENSG00000162836
ACP7	acid phosphatase 7, tartrate resistant (putative)	Q6ZNF0	390928	ENSG00000183760
ACPP	acid phosphatase, prostate	P15309	55	ENSG00000014257
ACR	acrosin	P10323	49	ENSG00000100312
ACRBP	acrosin binding protein	Q8NEB7	84519	ENSG00000111644
ACRV1	acrosomal vesicle protein 1	P26436	56	ENSG00000134940
ACSBG1	acyl-CoA synthetase bubblegum family member 1	Q96GR2	23205	ENSG00000103740
ACSBG2	acyl-CoA synthetase bubblegum family member 2	Q5FVE4	81616	ENSG00000130377
ACSF2	acyl-CoA synthetase family member 2	Q96CM8	80221	ENSG00000167107
ACSF3	acyl-CoA synthetase family member 3	Q4G176	197322	ENSG00000176715
ACSL1	acyl-CoA synthetase long chain family member 1	P33121	2180	ENSG00000151726
ACSL3	acyl-CoA synthetase long chain family member 3	O95573	2181	ENSG00000123983
ACSL4	acyl-CoA synthetase long chain family member 4	O60488	2182	ENSG00000068366
ACSL5	acyl-CoA synthetase long chain family member 5	Q9ULC5	51703	ENSG00000197142
ACSL6	acyl-CoA synthetase long chain family member 6	Q9UKU0	23305	ENSG00000164398
ACSM1	acyl-CoA synthetase medium chain family member 1	Q08AH1	116285	ENSG00000166743
ACSM2A	acyl-CoA synthetase medium chain family member 2A	Q08AH3	123876	ENSG00000183747
ACSM2B	acyl-CoA synthetase medium chain family member 2B	Q68CK6	348158	ENSG00000066813
ACSM3	acyl-CoA synthetase medium chain family member 3	Q53FZ2	6296	ENSG00000005187
ACSM4	acyl-CoA synthetase medium chain family member 4	P0C7M7	341392	ENSG00000215009
ACSM5	acyl-CoA synthetase medium chain family member 5	Q6NUN0	54988	ENSG00000183549
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1		100421779	ENSG00000260762
ACSM6	acyl-CoA synthetase medium chain family member 6	Q6P461	142827	ENSG00000173124
ACSS1	acyl-CoA synthetase short chain family member 1	Q9NUB1	84532	ENSG00000154930
ACSS2	acyl-CoA synthetase short chain family member 2	Q9NR19	55902	ENSG00000131069
ACSS3	acyl-CoA synthetase short chain family member 3	Q9H6R3	79611	ENSG00000111058
ACTA1	actin alpha 1, skeletal muscle	P68133	58	ENSG00000143632
ACTA2	actin alpha 2, smooth muscle	P62736	59	ENSG00000107796
ACTA2-AS1	ACTA2 antisense RNA 1		100132116	ENSG00000180139
ACTB	actin beta	P60709	60	ENSG00000075624
ACTBL2	actin beta like 2	Q562R1	345651	ENSG00000169067
ACTBP1	ACTB pseudogene 1		643309	ENSG00000229145
ACTBP2	ACTB pseudogene 2		62	ENSG00000213763
ACTBP3	ACTB pseudogene 3		63	
ACTBP4	ACTB pseudogene 4		64	
ACTBP6	ACTB pseudogene 6		66	ENSG00000203413
ACTBP7	ACTB pseudogene 7		67	ENSG00000185607
ACTBP8	ACTB pseudogene 8		68	ENSG00000220267
ACTBP9	ACTB pseudogene 9		69	ENSG00000266920
ACTBP10	ACTB pseudogene 10		446207	
ACTBP11	ACTB pseudogene 11		644220	ENSG00000188460
ACTBP12	ACTB pseudogene 12		100462767	ENSG00000233125
ACTBP13	ACTB pseudogene 13		389120	ENSG00000234667
ACTBP14	ACTB pseudogene 14		389976	ENSG00000229001
ACTC1	actin alpha cardiac muscle 1	P68032	70	ENSG00000159251
ACTG1	actin gamma 1	P63261	71	ENSG00000184009
ACTG1P1	actin gamma 1 pseudogene 1		73	ENSG00000178631
ACTG1P2	actin gamma 1 pseudogene 2		74	ENSG00000229129
ACTG1P3	actin gamma 1 pseudogene 3		75	ENSG00000215388
ACTG1P4	actin gamma 1 pseudogene 4		648740	ENSG00000236085
ACTG1P6	actin gamma 1 pseudogene 6		78	
ACTG1P7	actin gamma 1 pseudogene 7		79	
ACTG1P8	actin gamma 1 pseudogene 8		80	
ACTG1P9	actin gamma 1 pseudogene 9		82	ENSG00000229349
ACTG1P10	actin gamma 1 pseudogene 10		83	ENSG00000231340
ACTG1P11	actin gamma 1 pseudogene 11		414754	ENSG00000229465
ACTG1P12	actin gamma 1 pseudogene 12		100418921	ENSG00000226642
ACTG1P13	actin gamma 1 pseudogene 13		100418920	ENSG00000241305
ACTG1P14	actin gamma 1 pseudogene 14		100418910	ENSG00000230581
ACTG1P15	actin gamma 1 pseudogene 15		100418951	ENSG00000259904
ACTG1P16	actin gamma 1 pseudogene 16		100418960	ENSG00000260298
ACTG1P17	actin gamma 1 pseudogene 17		283693	ENSG00000259315
ACTG1P18	actin gamma 1 pseudogene 18		100418924	ENSG00000218475
ACTG1P19	actin gamma 1 pseudogene 19		644160	ENSG00000237999
ACTG1P20	actin gamma 1 pseudogene 20		644961	ENSG00000241547
ACTG1P21	actin gamma 1 pseudogene 21		100131291	ENSG00000232672
ACTG1P22	actin gamma 1 pseudogene 22		100131953	ENSG00000271615
ACTG1P23	actin gamma 1 pseudogene 23		442097	ENSG00000230362
ACTG1P24	actin gamma 1 pseudogene 24		441783	ENSG00000226359
ACTG2	actin gamma 2, smooth muscle	P63267	72	ENSG00000163017
ACTL6A	actin like 6A	O96019	86	ENSG00000136518
ACTL6B	actin like 6B	O94805	51412	ENSG00000077080
ACTL7A	actin like 7A	Q9Y615	10881	ENSG00000187003
ACTL7B	actin like 7B	Q9Y614	10880	ENSG00000148156
ACTL8	actin like 8	Q9H568	81569	ENSG00000117148
ACTL9	actin like 9	Q8TC94	284382	ENSG00000181786
ACTL10	actin like 10	Q5JWF8	170487	ENSG00000182584
ACTN1	actinin alpha 1	P12814	87	ENSG00000072110
ACTN1-AS1	ACTN1 antisense RNA 1		161159	ENSG00000259062
ACTN2	actinin alpha 2	P35609	88	ENSG00000077522
ACTN3	actinin alpha 3 (gene/pseudogene)	Q08043	89	ENSG00000248746
ACTN4	actinin alpha 4	O43707	81	ENSG00000130402
ACTN4P1	actinin alpha 4 pseudogene 1		344978	ENSG00000213493
ACTN4P2	actinin alpha 4 pseudogene 2		391026	ENSG00000214141
ACTP1	actin family pseudogene 1		106480335	ENSG00000229890
ACTR1A	actin related protein 1A	P61163	10121	ENSG00000138107
ACTR1B	actin related protein 1B	P42025	10120	ENSG00000115073
ACTR2	actin related protein 2	P61160	10097	ENSG00000138071
ACTR3	actin related protein 3	P61158	10096	ENSG00000115091
ACTR3-AS1	ACTR3 antisense RNA 1		101060091	
ACTR3B	actin related protein 3B	Q9P1U1	57180	ENSG00000133627
ACTR3BP1	ACTR3B pseudogene 1		643050	ENSG00000270242
ACTR3BP2	ACTR3B pseudogene 2		440888	ENSG00000226481
ACTR3BP3	ACTR3B pseudogene 3		647156	ENSG00000260327
ACTR3BP4	ACTR3B pseudogene 4		777774	ENSG00000249283
ACTR3BP5	ACTR3B pseudogene 5		399746	ENSG00000227264
ACTR3BP6	ACTR3B pseudogene 6		644773	ENSG00000226444
ACTR3C	actin related protein 3C	Q9C0K3	653857	ENSG00000106526
ACTR3P1	ACTR3 pseudogene 1		100288580	
ACTR3P2	ACTR3 pseudogene 2		100129013	ENSG00000232267
ACTR3P3	ACTR3 pseudogene 3		100128020	ENSG00000242573
ACTR5	actin related protein 5	Q9H9F9	79913	ENSG00000101442
ACTR6	actin related protein 6	Q9GZN1	64431	ENSG00000075089
ACTR6P1	ACTR6 pseudogene 1		100421495	ENSG00000248915
ACTR8	actin related protein 8	Q9H981	93973	ENSG00000113812
ACTR10	actin related protein 10	Q9NZ32	55860	ENSG00000131966
ACTRT1	actin related protein T1	Q8TDG2	139741	ENSG00000123165
ACTRT2	actin related protein T2	Q8TDY3	140625	ENSG00000169717
ACTRT3	actin related protein T3	Q9BYD9	84517	ENSG00000184378
ACVR1	activin A receptor type 1	Q04771	90	ENSG00000115170
ACVR1B	activin A receptor type 1B	P36896	91	ENSG00000135503
ACVR1C	activin A receptor type 1C	Q8NER5	130399	ENSG00000123612
ACVR2A	activin A receptor type 2A	P27037	92	ENSG00000121989
ACVR2B	activin A receptor type 2B	Q13705	93	ENSG00000114739
ACVR2B-AS1	ACVR2B antisense RNA 1		100128640	ENSG00000229589
ACVRL1	activin A receptor like type 1	P37023	94	ENSG00000139567
ACY1	aminoacylase 1	Q03154	95	ENSG00000243989
ACY3	aminoacylase 3	Q96HD9	91703	ENSG00000132744
ACYP1	acylphosphatase 1	P07311	97	ENSG00000119640
ACYP2	acylphosphatase 2	P14621	98	ENSG00000170634
AD5	Alzheimer disease 5			
ADA	adenosine deaminase	P00813	100	ENSG00000196839
ADA2	adenosine deaminase 2	Q9NZK5	51816	ENSG00000093072
ADAD1	adenosine deaminase domain containing 1	Q96M93	132612	ENSG00000164113
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1		100422386	
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2		100422407	ENSG00000267511
ADAD2	adenosine deaminase domain containing 2	Q8NCV1	161931	ENSG00000140955
ADAL	adenosine deaminase like	Q6DHV7	161823	ENSG00000168803
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)		8759	ENSG00000229186
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)		100420505	ENSG00000226469
ADAM2	ADAM metallopeptidase domain 2	Q99965	2515	ENSG00000104755
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)		1587	ENSG00000197475
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)		1596	ENSG00000260089
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	Q6NVV9	255926	ENSG00000196115
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)		8755	ENSG00000271968
ADAM7	ADAM metallopeptidase domain 7	Q9H2U9	8756	ENSG00000069206
